"","year","treat","amended_bool","amendment_C_kg_ha"
"545",1992,5,FALSE,NA
"546",1992,6,FALSE,NA
"547",1992,7,FALSE,NA
"548",1992,8,FALSE,NA
"549",1992,9,FALSE,NA
"550",1992,10,FALSE,NA
"551",1992,11,FALSE,NA
"552",1992,12,FALSE,NA
"553",1992,13,FALSE,NA
"554",1992,14,FALSE,NA
"555",1992,15,FALSE,NA
"556",1993,1,FALSE,NA
"557",1993,2,FALSE,NA
"558",1993,3,FALSE,NA
"559",1993,4,FALSE,NA
"560",1993,5,TRUE,3000
"561",1993,6,TRUE,3000
"562",1993,7,TRUE,3000
"563",1993,8,TRUE,3000
"564",1993,9,TRUE,3000
"565",1993,10,TRUE,3000
"566",1993,11,TRUE,3000
"567",1993,12,TRUE,3000
"568",1993,13,TRUE,3000
"569",1993,14,TRUE,3000
"570",1993,15,TRUE,3000
"571",1994,1,FALSE,NA
"572",1994,2,FALSE,NA
"573",1994,3,FALSE,NA
"574",1994,4,FALSE,NA
"575",1994,5,FALSE,NA
"576",1994,6,FALSE,NA
"577",1994,7,FALSE,NA
"578",1994,8,FALSE,NA
"579",1994,9,FALSE,NA
"580",1994,10,FALSE,NA
"581",1994,11,FALSE,NA
"582",1994,12,FALSE,NA
"583",1994,13,FALSE,NA
"584",1994,14,FALSE,NA
"585",1994,15,FALSE,NA
"586",1995,1,FALSE,NA
"587",1995,2,FALSE,NA
"588",1995,3,FALSE,NA
"589",1995,4,FALSE,NA
"590",1995,5,TRUE,3000
"591",1995,6,TRUE,3000
"592",1995,7,TRUE,3000
"593",1995,8,TRUE,3000
"594",1995,9,TRUE,3000
"595",1995,10,TRUE,3000
"596",1995,11,TRUE,3000
"597",1995,12,TRUE,3000
"598",1995,13,TRUE,3000
"599",1995,14,TRUE,3000
"600",1995,15,TRUE,3000
"601",1996,1,FALSE,NA
"602",1996,2,FALSE,NA
"603",1996,3,FALSE,NA
"604",1996,4,FALSE,NA
"605",1996,5,FALSE,NA
"606",1996,6,FALSE,NA
"607",1996,7,FALSE,NA
"608",1996,8,FALSE,NA
"609",1996,9,FALSE,NA
"610",1996,10,FALSE,NA
"611",1996,11,FALSE,NA
"612",1996,12,FALSE,NA
"613",1996,13,FALSE,NA
"614",1996,14,FALSE,NA
"615",1996,15,FALSE,NA
"616",1997,1,FALSE,NA
"617",1997,2,FALSE,NA
"618",1997,3,FALSE,NA
"619",1997,4,FALSE,NA
"620",1997,5,TRUE,3000
"621",1997,6,TRUE,3000
"622",1997,7,TRUE,3000
"623",1997,8,TRUE,3000
"624",1997,9,TRUE,3000
"625",1997,10,TRUE,3000
"626",1997,11,TRUE,3000
"627",1997,12,TRUE,3000
"628",1997,13,TRUE,3000
"629",1997,14,TRUE,3000
"630",1997,15,TRUE,3000
"631",1998,1,FALSE,NA
"632",1998,2,FALSE,NA
"633",1998,3,FALSE,NA
"634",1998,4,FALSE,NA
"635",1998,5,FALSE,NA
"636",1998,6,FALSE,NA
